detector,corpus,profile_norm,observed_fpr_0.05,observed_fpr_0.01,slope__punctuation_normalization,slope__sentence_splitting,slope__paragraph_resegmentation
lastde__qwen2_5_0_5b_fp32,blog_authorship,0.03594918149736854,0.011,0.001,0.03507087796809949,-0.007261897190812592,0.0031051599101312305
lastde__qwen2_5_0_5b_fp32,gutenberg,0.02543408130041002,0.0009950248756218905,0.0,-0.0028042724807943605,-0.013619586942038638,0.021296370558796556
lastde__qwen2_5_0_5b_fp32,stack_exchange,0.04511574185520319,0.05999008428358949,0.00991571641051066,0.0035117183104362228,-0.04481210266400976,-0.003869554558825702
lastde__qwen2_5_0_5b_fp32,asap_aes,0.03382721988663511,0.0115,0.003,0.019885676910638424,-0.02719117788242016,0.003079042778372644
lastde__qwen2_5_0_5b_fp32,pmc,0.03787239769287451,0.007976071784646061,0.0009970089730807576,-0.01089287828799116,-0.036147484196660126,0.003003846844042405
lastde__qwen2_5_0_5b_fp32,cnn_dailymail,0.06079315051136893,0.015,0.003,0.003349772345797891,-0.03826802201481815,-0.047118411108638604
lastde__qwen2_5_0_5b_fp32,govreport,0.054032080099070644,0.013,0.001,-0.018747538852136866,-0.046048369444320864,-0.02115521539335729
lastde__qwen2_5_0_5b_fp32,wikitext_103,0.03758642523737729,0.0045,0.0005,0.010056834751721826,-0.027062377213666375,-0.024067138933548865
logrank__qwen2_5_0_5b_fp32,blog_authorship,0.03046850078421103,0.0015,0.0005,0.01125007997729686,-0.026109473777873524,-0.010957217693576554
logrank__qwen2_5_0_5b_fp32,gutenberg,0.0477645447824885,0.0004975124378109452,0.0,0.003047895020069501,-0.03544416813136128,-0.03187276297563137
logrank__qwen2_5_0_5b_fp32,stack_exchange,0.06843072589463879,0.004462072384729797,0.0004957858205255329,0.01662913679519002,-0.05938850942366817,-0.02965199831965669
logrank__qwen2_5_0_5b_fp32,asap_aes,0.04294361380762179,0.0005,0.0,0.0007384500027853507,-0.038674945382765544,-0.01865093182904417
logrank__qwen2_5_0_5b_fp32,pmc,0.05283456166341795,0.009471585244267198,0.0024925224327018943,0.0019206899106651585,-0.048715191089309814,-0.020362514912569428
logrank__qwen2_5_0_5b_fp32,cnn_dailymail,0.055654606265178846,0.001,0.0,0.011282121953172386,-0.048967180151740744,-0.02392413406484753
logrank__qwen2_5_0_5b_fp32,govreport,0.05915707949006987,0.0075,0.0015,-0.004641526674821072,-0.054074693897621665,-0.023536009937962878
logrank__qwen2_5_0_5b_fp32,wikitext_103,0.07216687850053591,0.006,0.0015,0.0059617869884387295,-0.045427951379538846,-0.055756763552719316
mage_longformer__paper,blog_authorship,0.031127419139564887,0.003,0.001,-2.5916112757866985e-34,0.031127419139564887,8.825807974897382e-35
mage_longformer__paper,gutenberg,0.11523762502063904,0.0004975124378109452,0.0,0.003581216827760903,0.11518196519607563,7.5466086775307245e-34
mage_longformer__paper,stack_exchange,0.06467176419263741,0.0019831432821021317,0.0009915716410510659,-0.0038174718952473045,0.06455899621367339,-9.111077669610173e-34
mage_longformer__paper,asap_aes,0.09924729873071808,0.0095,0.0045,0.00025062045096270805,0.0992469822953522,4.273584480632655e-34
mage_longformer__paper,pmc,0.09827379186594648,0.004985044865403789,0.0024925224327018943,7.194020554344402e-05,0.09827376553444055,-6.458579188219486e-34
mage_longformer__paper,cnn_dailymail,0.022521640092064317,0.0465,0.028,-0.0003453129866085338,0.02251899268124039,5.667518728190087e-34
mage_longformer__paper,govreport,0.07544003065582709,0.055,0.0315,-0.0034765761918682863,0.07535988086066926,9.853988814359319e-35
mage_longformer__paper,wikitext_103,0.08800222777435647,0.0025,0.0015,3.560909685492836e-35,0.08800222777435647,5.046807591568242e-34
openai_roberta_base__gpt2_legacy,blog_authorship,0.026365110521681213,0.032,0.003,0.025654057989116935,0.005478832865408607,0.002640218162275521
