operating_point,detector,probe,intensity,n,corpora,directional_corpus_sign_flip_p,holm_adjusted_directional_p,holm_reject_0.05,any_flip_rate__estimate,any_flip_rate__lower90,any_flip_rate__upper90,human_to_ai_flip_rate__estimate,human_to_ai_flip_rate__lower90,human_to_ai_flip_rate__upper90,ai_to_human_flip_rate__estimate,ai_to_human_flip_rate__lower90,ai_to_human_flip_rate__upper90,mean_score_shift__estimate,mean_score_shift__lower90,mean_score_shift__upper90
0.05,lastde__qwen2_5_0_5b_fp32,contraction_expansion,low,214,6,1.0,1.0,False,0.02336448598130841,0.0,0.05976095617529881,0.009345794392523364,0.0,0.029717821782178203,0.014018691588785047,0.0,0.035856573705179286,0.29166546046176806,0.03515488414441125,0.5438677830551609
0.05,lastde__qwen2_5_0_5b_fp32,contraction_expansion,high,214,6,1.0,1.0,False,0.014018691588785047,0.0,0.042074483149249484,0.009345794392523364,0.0,0.03175235565673812,0.004672897196261682,0.0,0.01694915254237288,0.3703909722444053,-0.029282113057977618,0.8009054753738086
0.05,lastde__qwen2_5_0_5b_fp32,punctuation_normalization,low,356,8,1.0,1.0,False,0.011235955056179775,0.0,0.0350128205128205,0.008426966292134831,0.0,0.025733974358974274,0.0028089887640449437,0.0,0.011235955056179775,-0.10855070928509315,-0.2827380103702265,0.0657442168546526
0.05,lastde__qwen2_5_0_5b_fp32,punctuation_normalization,high,356,8,0.5,1.0,False,0.011235955056179775,0.0,0.03,0.008426966292134831,0.0,0.02247191011235955,0.0028089887640449437,0.0,0.01,0.042918869618619425,-0.19922269187829433,0.2865811056340678
0.05,lastde__qwen2_5_0_5b_fp32,sentence_splitting,low,358,8,0.25,1.0,False,0.01675977653631285,0.0,0.04046242774566474,0,0.0,0.0,0.01675977653631285,0.0,0.04046242774566474,-0.4029230938277431,-0.5711552310969044,-0.2158485688226072
0.05,lastde__qwen2_5_0_5b_fp32,sentence_splitting,high,358,8,0.5,1.0,False,0.01675977653631285,0.0,0.04291283240344901,0.002793296089385475,0.0,0.010723860589812333,0.013966480446927373,0.0,0.035,-0.6565504447041943,-0.8991302865805654,-0.4365799991032266
0.05,lastde__qwen2_5_0_5b_fp32,discourse_markers,low,132,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.2938038797089548,-0.5386196794579745,0.11675261796689486
0.05,lastde__qwen2_5_0_5b_fp32,discourse_markers,high,132,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.6588650327740293,-1.047590976867123,-0.3200604811958648
0.05,lastde__qwen2_5_0_5b_fp32,paragraph_resegmentation,low,400,8,1.0,1.0,False,0.005,0.0,0.0125,0.0025,0.0,0.01,0.0025,0.0,0.01,-0.15398105144500732,-0.3872329120635986,0.07850558209419245
0.05,lastde__qwen2_5_0_5b_fp32,paragraph_resegmentation,high,400,8,0.375,1.0,False,0.0175,0.005,0.0325,0.005,0.0,0.015,0.0125,0.0025,0.025,-0.21628579139709472,-0.4948971252441406,0.07119308328628533
0.05,lastde__qwen2_5_0_5b_fp32,adjacent_repetition_removal,low,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.04133122762044271,-1.0665448506673176,0.7730376065432368
0.05,lastde__qwen2_5_0_5b_fp32,adjacent_repetition_removal,high,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.6769246419270833,-0.2826903428350176,2.176267322091494
0.05,logrank__qwen2_5_0_5b_fp32,contraction_expansion,low,214,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.014137422075417171,-0.01933654087175522,-0.010128025017886469
0.05,logrank__qwen2_5_0_5b_fp32,contraction_expansion,high,214,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.017509740202880396,-0.026468626709312416,-0.010358862485548787
0.05,logrank__qwen2_5_0_5b_fp32,punctuation_normalization,low,356,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.017185992216954056,-0.021623816537073192,-0.01298121851549754
0.05,logrank__qwen2_5_0_5b_fp32,punctuation_normalization,high,356,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.0010234442533526458,-0.008944930716277135,0.005895654939283949
0.05,logrank__qwen2_5_0_5b_fp32,sentence_splitting,low,358,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.024341531787078766,-0.027542188524680124,-0.02152722008465687
0.05,logrank__qwen2_5_0_5b_fp32,sentence_splitting,high,358,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.05364418749359252,-0.05985676256042557,-0.047513039408559866
0.05,logrank__qwen2_5_0_5b_fp32,discourse_markers,low,132,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.01225303149963795,-0.018525336707448378,-0.009820963006195787
0.05,logrank__qwen2_5_0_5b_fp32,discourse_markers,high,132,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.02990388240879131,-0.03649067323724639,-0.025616625301535606
0.05,logrank__qwen2_5_0_5b_fp32,paragraph_resegmentation,low,400,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.03482287841581154,-0.042024163992137265,-0.028467644556596405
0.05,logrank__qwen2_5_0_5b_fp32,paragraph_resegmentation,high,400,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.03805627540158379,-0.0493200997540773,-0.02848280333774592
0.05,logrank__qwen2_5_0_5b_fp32,adjacent_repetition_removal,low,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.014641735845468625,-0.025543403535965327,-0.007274007660297185
0.05,logrank__qwen2_5_0_5b_fp32,adjacent_repetition_removal,high,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.0288763666412385,-0.048722618720228095,-0.0086320321439054
0.05,mage_longformer__paper,contraction_expansion,low,214,6,1.0,1.0,False,0.004672897196261682,0.0,0.018691588785046728,0,0.0,0.0,0.004672897196261682,0.0,0.018691588785046728,0.000370110716252486,-0.0013595955519364099,0.0028790842563774827
0.05,mage_longformer__paper,contraction_expansion,high,214,6,1.0,1.0,False,0.009345794392523364,0.0,0.028860156833457794,0,0.0,0.0,0.009345794392523364,0.0,0.028860156833457794,-0.0023507196009946523,-0.019300603979317717,0.015614161701271804
0.05,mage_longformer__paper,punctuation_normalization,low,356,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0006859517892418522,-3.077657689664193e-05,0.002516022865836702
0.05,mage_longformer__paper,punctuation_normalization,high,356,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.030175797814536054,0.00020983703677600798,0.07404470531726402
0.05,mage_longformer__paper,sentence_splitting,low,358,8,0.5,1.0,False,0.00558659217877095,0.0,0.014450867052023121,0,0.0,0.0,0.00558659217877095,0.0,0.014450867052023121,0.030459045235721793,0.004573344010342632,0.059494300065607804
0.05,mage_longformer__paper,sentence_splitting,high,358,8,1.0,1.0,False,0.002793296089385475,0.0,0.010810810810810811,0,0.0,0.0,0.002793296089385475,0.0,0.010810810810810811,0.12348276466235289,0.06442533009122507,0.18130763047881135
0.05,mage_longformer__paper,discourse_markers,low,132,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.031214684179703356,-0.07161530504521808,-0.008653418838266666
0.05,mage_longformer__paper,discourse_markers,high,132,6,0.5,1.0,False,0.015151515151515152,0.0,0.03429556650246305,0,0.0,0.0,0.015151515151515152,0.0,0.03429556650246305,-0.0803599347302197,-0.12873879791004045,-0.04136795176702027
0.05,mage_longformer__paper,paragraph_resegmentation,low,400,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.012066147381578957,3.3980000523570202e-06,0.03368618050736722
0.05,mage_longformer__paper,paragraph_resegmentation,high,400,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.033366939959519185,6.574903177352098e-07,0.0887777866814415
